"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 11:36:07 EEST 2023","Tue Aug 15 11:36:21 EEST 2023","14347","chromium","","US-1.1 Main page Header","","","C6101890	Check text label 'Bank branches & ATMs' leads to 'Bank branches & ATMs' page test",""
"passed","Tue Aug 15 11:38:04 EEST 2023","Tue Aug 15 11:38:13 EEST 2023","9484","chromium","","US-1.1 Main page Info page & Footer","","","C6101949 Check the the telephone number link in the footer leads to the telephone number URL",""
"passed","Tue Aug 15 10:38:22 EEST 2023","Tue Aug 15 10:38:30 EEST 2023","7199","chromium","","US-1.8 Exchange Rates","","","T36234950 Check the functionality of breadcrumbs (Logged out user)",""
"passed","Tue Aug 15 11:37:39 EEST 2023","Tue Aug 15 11:37:50 EEST 2023","11317","chromium","","US-1.1 Main page Info page & Footer","","","C6101941 Check the text label 'Cookies policy'",""
"passed","Tue Aug 15 11:39:02 EEST 2023","Tue Aug 15 11:39:11 EEST 2023","9378","chromium","","US-1.4 Registration (for bank clients)","","","T36234917 Check the Privacy Policy link in the notification in Sign in form opens Privacy policy page",""
"passed","Tue Aug 15 11:35:46 EEST 2023","Tue Aug 15 11:35:55 EEST 2023","9204","chromium","","US-1.1 Main page Header","","","C5935722 Check the 'Scroll block'",""
"passed","Tue Aug 15 11:35:31 EEST 2023","Tue Aug 15 11:35:46 EEST 2023","15518","chromium","","US-1.1 Main page Header","","","C6024132 Check the login window",""
"passed","Tue Aug 15 10:38:03 EEST 2023","Tue Aug 15 10:38:11 EEST 2023","8487","chromium","","US-1.5 Registration (for non-bank clients)","","","T36234900 Check the availability of the button 'back' ",""
"passed","Tue Aug 15 11:37:54 EEST 2023","Tue Aug 15 11:38:04 EEST 2023","9613","chromium","","US-1.1 Main page Info page & Footer","","","C6101944 Check the Head quarter address link in the footer leads to the Contact us page",""
"passed","Tue Aug 15 11:37:01 EEST 2023","Tue Aug 15 11:37:10 EEST 2023","8988","chromium","","US-1.1 Main page Info page & Footer","","","C6101933 Check the text label 'Exchange rates'",""
"failed","Tue Aug 15 11:39:11 EEST 2023","Tue Aug 15 11:39:40 EEST 2023","28679","chromium","","US-1.4 Registration (for bank clients)","","","T36234885 Check the Continue button in Enter code step opens Create a password step in Sign up form (the field is filled validly)",""
"passed","Tue Aug 15 11:36:51 EEST 2023","Tue Aug 15 11:37:01 EEST 2023","9837","chromium","","US-1.1 Main page Info page & Footer","","","C6101931 Check the text label 'Bank branches & ATMs'",""
"passed","Tue Aug 15 10:36:41 EEST 2023","Tue Aug 15 10:36:53 EEST 2023","12371","chromium","","US-1.11 Blocked account","","","C6182477 Check the functionality of the 'Close' button - the cross in upper right corner",""
"passed","Tue Aug 15 11:35:47 EEST 2023","Tue Aug 15 11:35:57 EEST 2023","10546","chromium","","US-1.1 Main page Header","","","C6116475 Сheck the buttons of the app stores",""
"passed","Tue Aug 15 11:38:20 EEST 2023","Tue Aug 15 11:38:28 EEST 2023","7640","chromium","","US-1.1 Main page Info page & Footer","","","C6101952 Сheck the buttons of the app stores",""
"passed","Tue Aug 15 11:36:30 EEST 2023","Tue Aug 15 11:36:40 EEST 2023","10248","chromium","","US-1.1 Main page Header","","","C6101897	Check the 'Contact' link in the header leads to Contact us page",""
"passed","Tue Aug 15 10:38:16 EEST 2023","Tue Aug 15 10:38:29 EEST 2023","12851","chromium","","US-1.8.1 Exchange Rates","","","T36234951 Check the functionality of breadcrumbs (Logged in user)",""
